Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,1.0000043782209456,0.06395370772821417,0.9998918623920565,0.9998962406204487,12.76847880747656,0.04756446982341527
2,1.0,0.06451080091764796,1.0,1.0,12.768461729674566,0.04756436713975376
3,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
4,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
5,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
6,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
7,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
8,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
9,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
10,1.0,0.06451067255587128,1.0,1.0,12.768461729674566,0.04756436713975376
